Term;TermFragment;MainPage;TermType;TermFrequency;CValue;inHeader;TermComponents
ПАРАМЕТР РЕШАЮЩЕЙ ЗАДАЧИ;параметрами решаемой задачи;60;CombTerm;1;2;False;РЕШАЮЩАЯ ЗАДАЧА(1),  
ЭЛЕМЕНТ ВЫЧИСЛЯЮЩЕГО СПИСКА;элемент вычисляемого списка;2;CombTerm;1;2;False;ВЫЧИСЛЯЮЩИЙ СПИСОК(1),  ЭЛЕМЕНТ СПИСКА(1),  
НАБОР ВСТРОИВШИХ ФУНКЦИОНАЛОВ;набор встроенных функционалов;63;CombTerm;1;2;False;ВСТРОИВШИЙ ФУНКЦИОНАЛ(1),  НАБОР ФУНКЦИОНАЛОВ(1),  
ГРУППА ОТОБРАЖАЮЩИХ ФУНКЦИОНАЛОВ;группу отображающих функционалов;63;CombTerm;2;4;False;ОТОБРАЖАЮЩИЙ ФУНКЦИОНАЛ(1),  ГРУППА ФУНКЦИОНАЛОВ(1),  
АРГУМЕНТ ПРИМЕНЯЮЩЕЙ ФУНКЦИИ;аргументы применяемой функции;63;CombTerm;2;4;False;ПРИМЕНЯЮЩАЯ ФУНКЦИЯ(1),  АРГУМЕНТ ФУНКЦИИ(1),  
НАБОР ЗАФИКСИРОВАВШИХ СВЯЗЕЙ;набор зафиксированных связей;67;CombTerm;1;2;False;ЗАФИКСИРОВАВШАЯ СВЯЗЬ(1),  
АРГУМЕНТ ВСТРОИВШИХ ФУНКЦИОНАЛОВ;аргумента встроенных функционалов;69;CombTerm;1;2;False;ВСТРОИВШИЙ ФУНКЦИОНАЛ(1),  АРГУМЕНТ ФУНКЦИОНАЛОВ(1),  
ВЫЗОВ ВСТРОИВШИХ ФУНКЦИОНАЛОВ;вызов встроенных функционалов;69;CombTerm;3;6;False;ВСТРОИВШИЙ ФУНКЦИОНАЛ(1),  ВЫЗОВ ФУНКЦИОНАЛОВ(1),  
ОПЕРАНД РЕДУЦИРУЮЩЕЙ ОПЕРАЦИИ;операнд редуцирующей операции;72;CombTerm;1;2;False;РЕДУЦИРУЮЩАЯ ОПЕРАЦИЯ(1),  ОПЕРАНД ОПЕРАЦИИ(1),  
ТЕЛО ВОЗВРАЩАЮЩЕЙ ФУНКЦИИ;теле возвращаемой функции;76;CombTerm;1;2;False;ВОЗВРАЩАЮЩАЯ ФУНКЦИЯ(1),  ТЕЛО ФУНКЦИИ(1),  
СРЕДСТВО ВСТРОИВШЕГО ЗАМЫКАНИЯ;средств встроенного замыкания;76;CombTerm;1;2;False;ВСТРОИВШЕЕ ЗАМЫКАНИЕ(1),  СРЕДСТВО ЗАМЫКАНИЯ(1),  
АРГУМЕНТ ДАВШЕЙ ФУНКЦИИ;аргумента данной функции;82;CombTerm;1;2;False;АРГУМЕНТ ФУНКЦИИ(1),  
АРГУМЕНТ АНАЛИЗИРУЮЩЕЙ ФУНКЦИИ;аргумента анализируемой функции;82;CombTerm;1;2;False;АНАЛИЗИРУЮЩАЯ ФУНКЦИЯ(1),  АРГУМЕНТ ФУНКЦИИ(1),  
ПРЕОБРАЗОВАНИЕ ВВЕДШЕГО ВЫРАЖЕНИЯ;преобразования введенного выражения;83;CombTerm;1;2;False;ВВЕДШЕЕ ВЫРАЖЕНИЕ(1),  
ВЫША ВСТРОИВШИХ ФУНКЦИЙ;выше встроенных функций;87;CombTerm;1;2;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  ВЫША ФУНКЦИЙ(1),  
ЗАПИСЬ УПРАВЛЯЮЩИХ КОНСТРУКЦИЙ;запись управляющих конструкций;87;CombTerm;1;2;False;УПРАВЛЯЮЩАЯ КОНСТРУКЦИЯ(1),  
ВЫВОД ПОЯСНЯЮЩЕЙ СТРОКИ;вывода поясняющей строки;88;CombTerm;1;2;False;ПОЯСНЯЮЩАЯ СТРОКА(1),  ВЫВОД СТРОКИ(1),  
ИМЯ ПРИМЕНЯЮЩЕЙ ФУНКЦИИ;имя применяемой функции;93;CombTerm;2;4;False;ПРИМЕНЯЮЩАЯ ФУНКЦИЯ(1),  ИМЯ ФУНКЦИИ(1),  
ПАРАМЕТР ОПРЕДЕЛЯЮЩЕЙ ФУНКЦИИ;параметров определяемой функции;93;CombTerm;1;2;False;ОПРЕДЕЛЯЮЩАЯ ФУНКЦИЯ(1),  ПАРАМЕТР ФУНКЦИИ(1),  
ПОЛУЧЕНИЕ РАСШИРИВШЕЙ ФОРМЫ;получение расширенной формы;95;CombTerm;1;2;False;РАСШИРИВШАЯ ФОРМА(1),  ПОЛУЧЕНИЕ ФОРМЫ(1),  
МАКРООПРЕДЕЛЕНИЕ ВСТРОИВШИХ ФУНКЦИЙ;макроопределения встроенных функций;97;CombTerm;1;2;False;ВСТРОИВШАЯ ФУНКЦИЯ(1),  МАКРООПРЕДЕЛЕНИЕ ФУНКЦИЙ(1),  
ПРЕДСТАВИТЕЛЬ ФУНКЦИОНАЛЬНОЙ ПАРАДИГМЫ ПРОГРАММИРОВАНИЯ;представителей функциональной парадигмы программирования;2;CombTerm;1;2,32192809488736;False;ПРЕДСТАВИТЕЛЬ ПАРАДИГМЫ(1),  ПРЕДСТАВИТЕЛЬ ПАРАДИГМЫ ПРОГРАММИРОВАНИЯ(1),  ФУНКЦИОНАЛЬНАЯ ПАРАДИГМА(1),  ФУНКЦИОНАЛЬНАЯ ПАРАДИГМА ПРОГРАММИРОВАНИЯ(1),  
ДАВЛЕНИЕ ИМПЕРАТИВНОЙ ПАРАДИГМЫ ПРОГРАММИРОВАНИЯ;давлением императивной парадигмы программирования;3;CombTerm;1;2,32192809488736;False;ДАВЛЕНИЕ ПАРАДИГМЫ(1),  ДАВЛЕНИЕ ПАРАДИГМЫ ПРОГРАММИРОВАНИЯ(1),  ИМПЕРАТИВНАЯ ПАРАДИГМА(1),  ИМПЕРАТИВНАЯ ПАРАДИГМА ПРОГРАММИРОВАНИЯ(1),  
ИМЯ ФОРМАЛЬНЫХ ПАРАМЕТРОВ ФУНКЦИИ;имена формальных параметров функции;12;CombTerm;1;2,32192809488736;False;ИМЯ ПАРАМЕТРОВ ФУНКЦИИ(1),  ФОРМАЛЬНЫЙ ПАРАМЕТР(1),  ФОРМАЛЬНЫЙ ПАРАМЕТР ФУНКЦИИ(1),  
ВЫША БАЗОВОГО НАБОРА ЛИСП-ФУНКЦИЙ;выше базового набора лисп-функций;16;CombTerm;1;2,32192809488736;False;ВЫША НАБОРА(1),  ВЫША НАБОРА ЛИСП-ФУНКЦИЙ(1),  БАЗОВЫЙ НАБОР(1),  БАЗОВЫЙ НАБОР ЛИСП-ФУНКЦИЙ(1),  
ЭЛЕМЕНТ ВЕРХНЕГО УРОВНЯ ПЕРВОГО;элементы верхнего уровня первого;24;CombTerm;1;2,32192809488736;False;ВЕРХНИЙ УРОВЕНЬ(1),  ВЕРХНИЙ УРОВЕНЬ ПЕРВОГО(1),  
ЭЛЕМЕНТ ВЕРХНЕГО УРОВНЯ ВТОРОГО;элементы верхнего уровня второго;24;CombTerm;1;2,32192809488736;False;ВЕРХНИЙ УРОВЕНЬ(1),  ВЕРХНИЙ УРОВЕНЬ ВТОРОГО(1),  
КОПИЯ ВЕРХНЕГО УРОВНЯ ПЕРВОГО;копия верхнего уровня первого;32;CombTerm;1;2,32192809488736;False;КОПИЯ УРОВНЯ(1),  КОПИЯ УРОВНЯ ПЕРВОГО(1),  ВЕРХНИЙ УРОВЕНЬ(1),  ВЕРХНИЙ УРОВЕНЬ ПЕРВОГО(1),  
ОСНОВА БАЗОВОГО НАБОРА ЛИСП-ФУНКЦИЙ;основе базового набора лисп-функций;33;CombTerm;1;2,32192809488736;False;ОСНОВА НАБОРА ЛИСП-ФУНКЦИЙ(1),  БАЗОВЫЙ НАБОР(1),  БАЗОВЫЙ НАБОР ЛИСП-ФУНКЦИЙ(1),  
ЗАДАЧА ОДНОВРЕМЕННОГО ПОДСЧЕТА СУММЫ;задачу одновременного подсчета суммы;49;CombTerm;1;2,32192809488736;False;ЗАДАЧА ПОДСЧЕТА СУММЫ(1),  ОДНОВРЕМЕННЫЙ ПОДСЧЕТ(1),  ОДНОВРЕМЕННЫЙ ПОДСЧЕТ СУММЫ(1),  
ДУБЛИРОВАНИЕ РЕКУРСИВНЫХ ВЫЗОВОВ ФУНКЦИИ;дублирование рекурсивных вызовов функции;49;CombTerm;1;2,32192809488736;False;ДУБЛИРОВАНИЕ ВЫЗОВОВ(1),  ДУБЛИРОВАНИЕ ВЫЗОВОВ ФУНКЦИИ(1),  РЕКУРСИВНЫЙ ВЫЗОВ(1),  РЕКУРСИВНЫЙ ВЫЗОВ ФУНКЦИИ(1),  
ЭЛЕМЕНТ ВЕРХНЕГО УРОВНЯ СПИСКА;элементы верхнего уровня списка;53;CombTerm;4;9,28771237954945;False;ЭЛЕМЕНТ УРОВНЯ СПИСКА(16),  ВЕРХНИЙ УРОВЕНЬ(16),  ВЕРХНИЙ УРОВЕНЬ СПИСКА(16),  
ПОРЯДОК РЕКУРСИВНЫХ ВЫЗОВОВ ФУНКЦИИ;порядок рекурсивных вызовов функции;56;CombTerm;1;2,32192809488736;False;ПОРЯДОК ВЫЗОВОВ ФУНКЦИИ(1),  РЕКУРСИВНЫЙ ВЫЗОВ(1),  РЕКУРСИВНЫЙ ВЫЗОВ ФУНКЦИИ(1),  
СПИСОК ТОЧЕЧНЫХ ПАР ЭЛЕМЕНТОВ;список точечных пар элементов;58;CombTerm;1;2,32192809488736;False;СПИСОК ПАР(1),  СПИСОК ПАР ЭЛЕМЕНТОВ(1),  
РЕШЕНИЕ РАЗНЫХ КЛАССОВ ЗАДАЧ;решении разных классов задач;60;CombTerm;1;2,32192809488736;False;РЕШЕНИЕ КЛАССОВ(1),  РЕШЕНИЕ КЛАССОВ ЗАДАЧ(1),  РАЗНЫЙ КЛАСС(1),  РАЗНЫЙ КЛАСС ЗАДАЧ(1),  
ЗАПИСЬ ФУНКЦИОНАЛЬНОГО АРГУМЕНТА ФУНКЦИОНАЛА;записи функционального аргумента функционала;69;CombTerm;1;2,32192809488736;False;ЗАПИСЬ АРГУМЕНТА ФУНКЦИОНАЛА(1),  ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ(1),  ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ ФУНКЦИОНАЛА(1),  
СПИСОК НЕВЫЧИСЛЕННЫХ АРГУМЕНТОВ ФУНКЦИИ;список невычисленных аргументов функции;98;CombTerm;1;2,32192809488736;False;СПИСОК АРГУМЕНТОВ(1),  СПИСОК АРГУМЕНТОВ ФУНКЦИИ(1),  НЕВЫЧИСЛЕННЫЙ АРГУМЕНТ(1),  НЕВЫЧИСЛЕННЫЙ АРГУМЕНТ ФУНКЦИИ(1),  
РЯД ВСТРОИВШИХ ФУНКЦИЙ ЛИСПА;ряд встроенных функций Лиспа;16;CombTerm;1;2,32192809488736;False;РЯД ФУНКЦИЙ(1),  РЯД ФУНКЦИЙ ЛИСПА(1),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  ВСТРОИВШАЯ ФУНКЦИЯ ЛИСПА(1),  
НАБОР ВСТРОИВШИХ ФУНКЦИЙ ЛИСПА;набор встроенных функций Лиспа;21;CombTerm;2;4,64385618977472;False;НАБОР ФУНКЦИЙ(1),  НАБОР ФУНКЦИЙ ЛИСПА(1),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  ВСТРОИВШАЯ ФУНКЦИЯ ЛИСПА(1),  
РЯД ВСТРОИВШИХ ФУНКЦИЙ ДИАЛЕКТА;ряда встроенных функций диалекта;37;CombTerm;2;4,64385618977472;False;РЯД ФУНКЦИЙ(1),  РЯД ФУНКЦИЙ ДИАЛЕКТА(1),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  ВСТРОИВШАЯ ФУНКЦИЯ ДИАЛЕКТА(1),  
ВЫША ВСТРОИВШИХ ФУНКЦИЙ ВВОДА;выше встроенных функций ввода;87;CombTerm;1;2,32192809488736;False;ВЫША ФУНКЦИЙ(1),  ВЫША ФУНКЦИЙ ВВОДА(1),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  ВСТРОИВШАЯ ФУНКЦИЯ ВВОДА(1),  
ПРОГРАММИРОВАНИЕ ЗАДАЧ ИСКУССТВЕННОГО ИНТЕЛЛЕКТА;программирования задач искусственного интеллекта;2;CombTerm;1;2,32192809488736;False;ИСКУССТВЕННЫЙ ИНТЕЛЛЕКТ(1),  ПРОГРАММИРОВАНИЕ ЗАДАЧ ИНТЕЛЛЕКТА(1),  
ПРИЕМ ПОСТРОЕНИЯ РЕКУРСИВНЫХ ПРОГРАММ;приемы построения рекурсивных программ;2;CombTerm;2;4,64385618977472;False;РЕКУРСИВНАЯ ПРОГРАММА(4),  ПРИЕМ ПОСТРОЕНИЯ ПРОГРАММ(4),  
МНОЖЕСТВО АТОМОВ БАЗОВОГО ЛИСПА;множества атомов базового Лиспа;3;CombTerm;1;2,32192809488736;False;БАЗОВЫЙ ЛИСП(1),  МНОЖЕСТВО АТОМОВ ЛИСПА(1),  
КАЧЕСТВО АРГУМЕНТОВ ОБЫЧНЫХ ФУНКЦИЙ;качестве аргументов обычных функций;8;CombTerm;1;2,32192809488736;False;ОБЫЧНАЯ ФУНКЦИЯ(1),  КАЧЕСТВО АРГУМЕНТОВ ФУНКЦИЙ(1),  
ПЕРВОЕ ЭЛЕМЕНТОВ ВЕРХНЕГО УРОВНЯ;первых элементов верхнего уровня;16;CombTerm;2;4,64385618977472;False;ВЕРХНИЙ УРОВЕНЬ(4),  
ФУНКЦИЯ ПОИСКА НУЖНОГО ПОДСПИСКА;функцию поиска нужного подсписка;23;CombTerm;1;2,32192809488736;False;НУЖНЫЙ ПОДСПИСОК(1),  ФУНКЦИЯ ПОИСКА ПОДСПИСКА(1),  
ЭЛЕМЕНТ СПИСКА ВЕРХНЕГО УРОВНЯ;элементы списка верхнего уровня;27;CombTerm;1;2,32192809488736;False;ВЕРХНИЙ УРОВЕНЬ(1),  ЭЛЕМЕНТ СПИСКА УРОВНЯ(1),  
ПАМЯТЬ КОМПЬЮТЕРА СПИСОЧНЫХ СТРУКТУР;памяти компьютера списочных структур;30;CombTerm;1;2,32192809488736;False;СПИСОЧНАЯ СТРУКТУРА(1),  ПАМЯТЬ КОМПЬЮТЕРА СТРУКТУР(1),  
ЧИСЛО ФУНКЦИЙ ПОБОЧНОГО ЭФФЕКТА;число функций побочного эффекта;34;CombTerm;1;2,32192809488736;False;ПОБОЧНЫЙ ЭФФЕКТ(1),  ЧИСЛО ФУНКЦИЙ ЭФФЕКТА(1),  
ФУНКЦИЯ ДЕЛЕНИЯ КОМПЛЕКСНЫХ ЧИСЕЛ;функция деления комплексных чисел;36;CombTerm;1;2,32192809488736;False;КОМПЛЕКСНОЕ ЧИСЛО(1),  ФУНКЦИЯ ДЕЛЕНИЯ ЧИСЕЛ(1),  
СОЗДАНИЕ ИНТЕРПРЕТАТОРА ФУНКЦИОНАЛЬНОГО ЯЗЫКА;создание интерпретатора функционального языка;38;CombTerm;1;2,32192809488736;False;ФУНКЦИОНАЛЬНЫЙ ЯЗЫК(1),  СОЗДАНИЕ ИНТЕРПРЕТАТОРА ЯЗЫКА(1),  
ФУНКЦИЯ ПЕРЕВОДА ЛОГИЧЕСКОГО ВЫРАЖЕНИЯ;функция перевода логического выражения;43;CombTerm;1;2,32192809488736;False;ЛОГИЧЕСКОЕ ВЫРАЖЕНИЕ(1),  ФУНКЦИЯ ПЕРЕВОДА ВЫРАЖЕНИЯ(1),  
ФУНКЦИЯ ПЕРЕВОДА ЛОГИЧЕСКОГО ОПЕРАНДА;функция перевода логического операнда;43;CombTerm;1;2,32192809488736;False;ЛОГИЧЕСКИЙ ОПЕРАНД(1),  ФУНКЦИЯ ПЕРЕВОДА ОПЕРАНДА(1),  
ЗАПИСЬ ПРОИЗВЕДЕНИЯ НАТУРАЛЬНЫХ ЧИСЕЛ;записью произведения натуральных чисел;59;CombTerm;1;2,32192809488736;False;НАТУРАЛЬНОЕ ЧИСЛО(1),  ЗАПИСЬ ПРОИЗВЕДЕНИЯ ЧИСЕЛ(1),  
РЕШЕНИЕ ПРОБЛЕМЫ ФУНКЦИОНАЛЬНОГО АРГУМЕНТА;решения проблемы функционального аргумента;68;CombTerm;1;2,32192809488736;False;ФУНКЦИОНАЛЬНЫЙ АРГУМЕНТ(1),  
СВОЙСТВО АТОМ-ИМЕН ПАСКАЛЕВСКИХ ФУНКЦИЙ;свойств атомов-имен паскалевских функций;80;CombTerm;1;2,32192809488736;False;ПАСКАЛЕВСКАЯ ФУНКЦИЯ(1),  СВОЙСТВО АТОМ-ИМЕН ФУНКЦИЙ(1),  
ПОРЯДОК ЭЛЕМЕНТОВ ВЕРХНЕГО УРОВНЯ;порядок элементов верхнего уровня;100;CombTerm;1;2,32192809488736;False;ВЕРХНИЙ УРОВЕНЬ(1),  
СРЕДСТВО ПАРАМЕТРИЗАЦИИ ВЫЧИСЛЯЮЩЕГО ВЫРАЖЕНИЯ;средство параметризации вычисляемого выражения;12;CombTerm;1;2,32192809488736;False;ВЫЧИСЛЯЮЩЕЕ ВЫРАЖЕНИЕ(1),  СРЕДСТВО ПАРАМЕТРИЗАЦИИ ВЫРАЖЕНИЯ(1),  
ТЕХНИК ПЕРЕПИСЫВАНИЯ ВЫЧИСЛЯЮЩЕГО ВЫРАЖЕНИЯ;технику переписывания вычисляемого выражения;52;CombTerm;1;2,32192809488736;False;ВЫЧИСЛЯЮЩЕЕ ВЫРАЖЕНИЕ(1),  ТЕХНИК ПЕРЕПИСЫВАНИЯ ВЫРАЖЕНИЯ(1),  
ТИП АРГУМЕНТА ДАВШЕЙ ФУНКЦИИ;тип аргумента данной функции;82;CombTerm;1;2,32192809488736;False;ТИП АРГУМЕНТА ФУНКЦИИ(1),  
ТИП АРГУМЕНТА АНАЛИЗИРУЮЩЕЙ ФУНКЦИИ;тип аргумента анализируемой функции;82;CombTerm;1;2,32192809488736;False;АНАЛИЗИРУЮЩАЯ ФУНКЦИЯ(1),  ТИП АРГУМЕНТА ФУНКЦИИ(1),  
СОВОКУПНОСТЬ ВЗАИМОСВЯЗАННЫХ СПИСОЧНЫХ ЯЧЕЕК;совокупность взаимосвязанных списочных ячеек;31;CombTerm;1;2,32192809488736;False;ВЗАИМОСВЯЗАННАЯ ЯЧЕЙКА(1),  СОВОКУПНОСТЬ ЯЧЕЕК(1),  ВЗАИМОСВЯЗАННАЯ СПИСОЧНАЯ ЯЧЕЙКА(1),  СОВОКУПНОСТЬ СПИСОЧНЫХ ЯЧЕЕК(1),  
СОДЕРЖИМОЕ СООТВЕТСТВУЮЩИХ СПИСОЧНЫХ ЯЧЕЕК;содержимого соответствующих списочных ячеек;2;CombTerm;1;2,32192809488736;False;СОДЕРЖИМОЕ СПИСОЧНЫХ ЯЧЕЕК(1),  
ОБЛАСТЬ СВОБОДНОЙ СПИСОЧНОЙ ПАМЯТИ;область свободной списочной памяти;34;CombTerm;2;4,64385618977472;False;СВОБОДНАЯ ПАМЯТЬ(4),  СВОБОДНАЯ СПИСОЧНАЯ ПАМЯТЬ(4),  ОБЛАСТЬ СПИСОЧНОЙ ПАМЯТИ(4),  
ИСЧЕРПАНИЕ СВОБОДНОЙ СПИСОЧНОЙ ПАМЯТИ;исчерпании свободной списочной памяти;34;CombTerm;1;2,32192809488736;False;СВОБОДНАЯ ПАМЯТЬ(1),  ИСЧЕРПАНИЕ ПАМЯТИ(1),  СВОБОДНАЯ СПИСОЧНАЯ ПАМЯТЬ(1),  ИСЧЕРПАНИЕ СПИСОЧНОЙ ПАМЯТИ(1),  
ФУНКЦИЯ ОСОБЫХ ЭКЗОТИЧЕСКИХ ИМЕН;функций особых экзотических имен;68;CombTerm;1;2,32192809488736;False;ФУНКЦИЯ ИМЕН(1),  ОСОБОЕ ЭКЗОТИЧЕСКОЕ ИМЯ(1),  ФУНКЦИЯ ЭКЗОТИЧЕСКИХ ИМЕН(1),  
ПРИНЦИП ЧИСТОГО ФУНКЦИОНАЛЬНОГО ПРОГРАММИРОВАНИЯ;принципов чисто функционального программирования;79;CombTerm;1;2,32192809488736;False;ЧИСТОЕ ПРОГРАММИРОВАНИЕ(1),  ПРИНЦИП ПРОГРАММИРОВАНИЯ(1),  ЧИСТОЕ ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ(1),  ПРИНЦИП ФУНКЦИОНАЛЬНОГО ПРОГРАММИРОВАНИЯ(1),  
ОПЕРАТОР ТРАДИЦИОННЫХ ИМПЕРАТИВНЫХ ЯЗЫКОВ;операторов традиционных императивных языков;99;CombTerm;1;2,32192809488736;False;ТРАДИЦИОННЫЙ ЯЗЫК(1),  ОПЕРАТОР ЯЗЫКОВ(1),  ТРАДИЦИОННЫЙ ИМПЕРАТИВНЫЙ ЯЗЫК(1),  ОПЕРАТОР ИМПЕРАТИВНЫХ ЯЗЫКОВ(1),  
РАМКА СТРОГОГО ФУНКЦИОНАЛЬНОГО ПРОГРАММИРОВАНИЯ;рамки строго функционального программирования;99;CombTerm;1;2,32192809488736;False;СТРОГОЕ ПРОГРАММИРОВАНИЕ(1),  РАМКА ПРОГРАММИРОВАНИЯ(1),  СТРОГОЕ ФУНКЦИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ(1),  РАМКА ФУНКЦИОНАЛЬНОГО ПРОГРАММИРОВАНИЯ(1),  
СОДЕРЖИМОЕ СООТВЕТСТВУЮЩИХ СПИСОЧНЫХ ЯЧЕЕК;содержимого соответствующих списочных ячеек;2;CombTerm;1;2,32192809488736;False;СОДЕРЖИМОЕ СПИСОЧНЫХ ЯЧЕЕК(1),  
АРГУМЕНТ ОТЛОЖИВШИХ РЕКУРСИВНЫХ ВЫЗОВОВ;аргументе отложенных рекурсивных вызовов;40;CombTerm;1;2,32192809488736;False;ОТЛОЖИВШИЙ ВЫЗОВ(1),  ОТЛОЖИВШИЙ РЕКУРСИВНЫЙ ВЫЗОВ(1),  АРГУМЕНТ РЕКУРСИВНЫХ ВЫЗОВОВ(1),  
ЧИСЛО ВЛОЖИВШИХ РЕКУРСИВНЫХ ВЫЗОВОВ;числу вложенных рекурсивных вызовов;56;CombTerm;1;2,32192809488736;False;ВЛОЖИВШИЙ ВЫЗОВ(1),  ВЛОЖИВШИЙ РЕКУРСИВНЫЙ ВЫЗОВ(1),  ЧИСЛО РЕКУРСИВНЫХ ВЫЗОВОВ(1),  
ЗНАЧЕНИЕ ВЫПОЛНИВШЕГО ФУНКЦИОНАЛЬНОГО ВЫЗОВА;значения выполненного функционального вызова;91;CombTerm;1;2,32192809488736;False;ВЫПОЛНИВШИЙ ВЫЗОВ(1),  ВЫПОЛНИВШИЙ ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ(1),  ЗНАЧЕНИЕ ФУНКЦИОНАЛЬНОГО ВЫЗОВА(1),  
ЕДИНАЯ СИНТАКСИЧЕСКАЯ ФОРМА ЗАПИСИ;единая синтаксическая форма записи;2;CombTerm;1;2,32192809488736;False;ЕДИНАЯ ФОРМА(1),  СИНТАКСИЧЕСКАЯ ФОРМА ЗАПИСИ(1),  СИНТАКСИЧЕСКАЯ ФОРМА(1),  ЕДИНАЯ ФОРМА ЗАПИСИ(1),  
БАЗОВОЕ ФУНКЦИОНАЛЬНОЕ СРЕДСТВО ЯЗЫКА;базовым функциональным средствам языка;2;CombTerm;1;2,32192809488736;False;БАЗОВОЕ СРЕДСТВО(1),  ФУНКЦИОНАЛЬНОЕ СРЕДСТВО ЯЗЫКА(1),  ФУНКЦИОНАЛЬНОЕ СРЕДСТВО(1),  БАЗОВОЕ СРЕДСТВО ЯЗЫКА(1),  
ВЫШЕ БАЗОВЫЙ НАБОР ЛИСП-ФУНКЦИЙ;выше базового набора лисп-функций;16;CombTerm;1;2,32192809488736;False;ВЫШЕ НАБОР(1),  БАЗОВЫЙ НАБОР ЛИСП-ФУНКЦИЙ(1),  БАЗОВЫЙ НАБОР(1),  ВЫШЕ НАБОР ЛИСП-ФУНКЦИЙ(1),  
ПООЧЕРЕДНОЕ ВНУТРЕННЕЕ ПРЕДСТАВЛЕНИЕ АТОМОВ;поочередно внутреннее представление атомов;29;CombTerm;1;2,32192809488736;False;ПООЧЕРЕДНОЕ ПРЕДСТАВЛЕНИЕ(1),  ВНУТРЕННЕЕ ПРЕДСТАВЛЕНИЕ АТОМОВ(1),  ПООЧЕРЕДНОЕ ПРЕДСТАВЛЕНИЕ АТОМОВ(1),  
ЗАГЛАВНАЯ СПИСОЧНАЯ ЯЧЕЙКА СТРУКТУРЫ;заглавной списочной ячейки структуры;31;CombTerm;2;4,64385618977472;False;ЗАГЛАВНАЯ ЯЧЕЙКА(4),  СПИСОЧНАЯ ЯЧЕЙКА СТРУКТУРЫ(4),  СПИСОЧНАЯ ЯЧЕЙКА(4),  ЗАГЛАВНАЯ ЯЧЕЙКА СТРУКТУРЫ(4),  
ТРАДИЦИОННЫЙ ИМПЕРАТИВНЫЙ ЯЗЫК ПРОГРАММИРОВАНИЯ;традиционных императивных языках программирования;35;CombTerm;2;4,64385618977472;False;ТРАДИЦИОННЫЙ ЯЗЫК(4),  ИМПЕРАТИВНЫЙ ЯЗЫК ПРОГРАММИРОВАНИЯ(4),  ИМПЕРАТИВНЫЙ ЯЗЫК(4),  ТРАДИЦИОННЫЙ ЯЗЫК ПРОГРАММИРОВАНИЯ(4),  
СТРОГОЕ ФИКСИРОВАВШЕЕ ЧИСЛО АРГУМЕНТОВ;строго фиксированное число аргументов;6;CombTerm;1;2,32192809488736;False;СТРОГОЕ ЧИСЛО(1),  ФИКСИРОВАВШЕЕ ЧИСЛО АРГУМЕНТОВ(1),  ФИКСИРОВАВШЕЕ ЧИСЛО(1),  СТРОГОЕ ЧИСЛО АРГУМЕНТОВ(1),  
ВЫШЕ ВСТРОИВШАЯ ФУНКЦИЯ ВВОДА;выше встроенных функций ввода;87;CombTerm;1;2,32192809488736;False;ВЫШЕ ФУНКЦИЯ(1),  ВСТРОИВШАЯ ФУНКЦИЯ ВВОДА(1),  ВСТРОИВШАЯ ФУНКЦИЯ(1),  ВЫШЕ ФУНКЦИЯ ВВОДА(1),  
ИСКЛЮЧИВШАЯ ВНЕШНЯЯ СКОБКА ЛЯМБДА-ВЫРАЖЕНИЯ;исключены внешние скобки лямбда-выражения;15;CombTerm;1;2,32192809488736;False;ИСКЛЮЧИВШАЯ СКОБКА(1),  ВНЕШНЯЯ СКОБКА ЛЯМБДА-ВЫРАЖЕНИЯ(1),  ВНЕШНЯЯ СКОБКА(1),  ИСКЛЮЧИВШАЯ СКОБКА ЛЯМБДА-ВЫРАЖЕНИЯ(1),  
ОТЛОЖИВШИЙ РЕКУРСИВНЫЙ ВЫЗОВ ФУНКЦИЙ;отложенных рекурсивных вызовов функций;40;CombTerm;1;2,32192809488736;False;ОТЛОЖИВШИЙ ВЫЗОВ(1),  РЕКУРСИВНЫЙ ВЫЗОВ ФУНКЦИЙ(1),  РЕКУРСИВНЫЙ ВЫЗОВ(1),  ОТЛОЖИВШИЙ ВЫЗОВ ФУНКЦИЙ(1),  
ЯРКИЙ ПРЕДСТАВИТЕЛЬ ФУНКЦИОНАЛЬНОЙ ПАРАДИГМЫ;ярких представителей функциональной парадигмы;2;CombTerm;1;2,32192809488736;False;ФУНКЦИОНАЛЬНАЯ ПАРАДИГМА(1),  ЯРКОЙ ПРЕДСТАВИТЕЛЬ ПАРАДИГМЫ(1),  
